year,A,B,C,D,E,F,Q
1991,0.0,0.0,0.0,36846.0,0.0,443625.0,137494.0
1992,0.0,0.0,0.0,70553.0,0.0,710039.0,137494.0
1993,0.0,0.0,0.0,186484.0,0.0,1497282.0,137494.0
1994,0.0,0.0,406023.0,433125.0,0.0,1650998.44,137494.0
1995,0.0,0.0,2620745.0,1181852.0,0.0,2643305.92,137494.0
1996,0.0,0.0,6669753.0,1896171.0,0.0,3408570.16,886539.0
1997,0.0,0.0,11673631.0,2902988.88,0.0,3807803.16,886539.0
1998,0.0,0.0,12937507.0,6977992.82,0.0,4766950.16,1687404.0
1999,0.0,0.0,14683244.0,7765528.130000001,0.0,4796516.16,2152965.0
2000,0.0,0.0,17399023.0,8127772.02,0.0,4949080.16,4108984.0
2001,0.0,0.0,18465275.2,9103685.9,0.0,5185190.779999999,4316604.0
2002,0.0,0.0,19702344.89,12613994.11,0.0,5543589.359999999,4526539.0
2003,0.0,0.0,21364720.43,14737270.659999998,0.0,5747052.359999999,4695413.0
2004,0.0,0.0,23033181.380000003,16747966.27,0.0,5956030.119999999,4695413.0
2005,0.0,30495.0,24925250.189999998,23391578.439999998,0.0,6381188.959999999,4779850.0
2006,0.0,133402.0,36432696.14999999,26298873.51,0.0,6755683.279999999,6459888.0
2007,0.0,389230.0,40683466.010000005,29601862.3,0.0,7001878.48,7427312.0
2008,0.0,589230.0,56456291.839999996,30905893.77,0.0,7116768.4399999995,13312350.0
2009,0.0,1787725.57,75502619.22999999,32479554.57,551.47,8318908.62,14543072.939999998
2010,46793.0,32485483.99,127637067.91999999,40487818.79000001,14419.410000000002,10134738.41,16798095.92
2011,259529.0,35650243.349999994,304994259.73,65280269.970000006,21270.47,12866052.66,46003116.56
2012,1406583.13,38269886.699999996,367008441.13,82590020.45,38019.87,20161155.509999998,101869234.82
2013,6478257.05,40609006.92,523560588.96000004,101751622.66999999,40282.08,34763164.31,129310982.44
2014,13603277.5,43882174.519999996,883192759.6499999,134362967.03,60089.73999999999,48115403.71,159557148.54000002
2015,19999287.45,47231164.68000001,1012389836.1899999,144993547.0,60737.06,55267614.61000001,181001626.61
2016,83115962.88999999,50491891.9,1208401141.22,160864515.39,61790.54999999999,56817529.2,217831140.70000002
2017,137078140.64000002,54602426.940000005,1253025965.93,168218360.54,61790.54999999999,59371325.61,232550683.75
